Date : 2026-02-08 13:47:11
Directory : /home/keanu/Documents/gitHub/fugginZelda
Total : 163 files,  16341 codes, 516 comments, 3484 blanks, all 20341 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| Assets/Plugins/SerializedCollections/Editor/Scripts/Search                                                                                          |          8 |        281 |          0 |         33 |        314 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/Search (Files)                                                                                  |          3 |        105 |          0 |         14 |        119 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/Search/Matchers                                                                                 |          5 |        176 |          0 |         19 |        195 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/Settings                                                                                        |          2 |        120 |          0 |         22 |        142 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/States                                                                                          |          3 |        165 |          0 |         33 |        198 |
| Assets/Plugins/SerializedCollections/Editor/Scripts/Utility                                                                                         |          5 |        381 |          0 |         50 |        431 |
| Assets/Plugins/SerializedCollections/Runtime                                                                                                        |          8 |        314 |          5 |         51 |        370 |
| Assets/Plugins/SerializedCollections/Runtime (Files)                                                                                                |          1 |         13 |          0 |          0 |         13 |
| Assets/Plugins/SerializedCollections/Runtime/LookupTables                                                                                           |          2 |         91 |          0 |         18 |        109 |
| Assets/Plugins/SerializedCollections/Runtime/Scripts                                                                                                |          5 |        210 |          5 |         33 |        248 |
| Assets/Plugins/SerializedCollections/Sample                                                                                                         |          3 |         46 |          0 |          5 |         51 |
| Assets/Resources                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| Assets/TextMesh Pro                                                                                                                                 |         20 |      3,015 |        111 |        758 |      3,884 |
| Assets/TextMesh Pro/Shaders                                                                                                                         |         19 |      2,860 |        111 |        756 |      3,727 |
| Assets/TextMesh Pro/Sprites                                                                                                                         |          1 |        155 |          0 |          2 |        157 |
| Assets/scripts                                                                                                                                      |         82 |      6,041 |        179 |      1,542 |      7,762 |
| Assets/scripts (Files)                                                                                                                              |         19 |        881 |         33 |        255 |      1,169 |
| Assets/scripts/camera                                                                                                                               |          1 |         15 |          0 |          4 |         19 |
| Assets/scripts/debug                                                                                                                                |          3 |         93 |          1 |         22 |        116 |
| Assets/scripts/dialog                                                                                                                               |          6 |        243 |          0 |         82 |        325 |
| Assets/scripts/enemy                                                                                                                                |         11 |      1,061 |         43 |        244 |      1,348 |
| Assets/scripts/enemy (Files)                                                                                                                        |          9 |      1,001 |         43 |        230 |      1,274 |
| Assets/scripts/enemy/debug                                                                                                                          |          2 |         60 |          0 |         14 |         74 |
| Assets/scripts/inputSystemAddons                                                                                                                    |          1 |         45 |          0 |         12 |         57 |
| Assets/scripts/mainMenu                                                                                                                             |         20 |      1,199 |         25 |        287 |      1,511 |
| Assets/scripts/newCharacterController                                                                                                               |          6 |        813 |         35 |        201 |      1,049 |
| Assets/scripts/pickUps                                                                                                                              |          1 |         88 |          0 |         27 |        115 |
| Assets/scripts/player                                                                                                                               |         14 |      1,603 |         42 |        408 |      2,053 |
| Packages                                                                                                                                            |          2 |        682 |          0 |          2 |        684 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/keanu/Documents/gitHub/fugginZelda/Assets/DampedSpringMotionCopier/Code/DampedSpringMotionCopier.Utils.cs                                     | C#           |        231 |          7 |         22 |        260 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/DampedSpringMotionCopier/Code/DampedSpringMotionCopier.cs                                           | C#           |        210 |         16 |         66 |        292 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/DampedSpringMotionCopier/Code/TooltipAttribute.cs                                                   | C#           |         69 |          1 |         15 |         85 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/DampedSpringMotionCopier/Docs/Html/DampedSpringMotionCopier.html                                    | HTML         |         63 |          0 |          5 |         68 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/MobileDependencyResolver/Editor/CHANGELOG.md                                                        | Markdown     |      1,215 |          0 |        211 |      1,426 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/MobileDependencyResolver/Editor/README.md                                                           | Markdown     |        680 |          0 |        224 |        904 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/AYellowpaper.SerializedCollections.Editor.asmdef               | JSON         |         17 |          0 |          0 |         17 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Assets/KeysGeneratorSelectorWindow.uss                         | UnityUSS     |         94 |          0 |         17 |        111 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Assets/KeysGeneratorSelectorWindow.uxml                        | UnityUXML    |         26 |          0 |          1 |         27 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Data/ElementData.cs                                    | C#           |         20 |          0 |          3 |         23 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Data/ElementSettings.cs                                | C#           |         13 |          0 |          2 |         15 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Data/PropertyData.cs                                   | C#           |         38 |          0 |          6 |         44 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/DisplayType.cs                                         | C#           |         12 |          0 |          1 |         13 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/Implementors/EnumGenerator.cs        | C#           |         14 |          0 |          1 |         15 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/Implementors/IntRangeGenerator.cs    | C#           |         22 |          0 |          2 |         24 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/Implementors/IntSteppingGenerator.cs | C#           |         24 |          0 |          2 |         26 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/KeyListGenerator.cs                  | C#           |         10 |          0 |          1 |         11 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/KeyListGeneratorAttribute.cs         | C#           |         17 |          0 |          2 |         19 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/KeyListGeneratorCache.cs             | C#           |         33 |          0 |          3 |         36 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/KeyListGeneratorData.cs              | C#           |         18 |          0 |          2 |         20 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/KeyListGeneratorEditor.cs            | C#           |         24 |          1 |          1 |         26 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/KeyListGeneratorSelectorWindow.cs    | C#           |        154 |          0 |         28 |        182 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/KeyListGenerators/ModificationType.cs                  | C#           |         10 |          0 |          0 |         10 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/PagingElement.cs                                       | C#           |         61 |          0 |          7 |         68 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/Matchers/EnumMatcher.cs                         | C#           |         20 |          0 |          1 |         21 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/Matchers/Matcher.cs                             | C#           |         17 |          0 |          3 |         20 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/Matchers/Matchers.cs                            | C#           |         25 |          0 |          5 |         30 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/Matchers/NumericMatcher.cs                      | C#           |        100 |          0 |          9 |        109 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/Matchers/StringMatcher.cs                       | C#           |         14 |          0 |          1 |         15 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/PropertySearchResult.cs                         | C#           |         19 |          0 |          3 |         22 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/SearchQuery.cs                                  | C#           |         58 |          0 |          8 |         66 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Search/SearchResultEntry.cs                            | C#           |         28 |          0 |          3 |         31 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/SerializedDictionaryDrawer.cs                          | C#           |         60 |          0 |          5 |         65 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/SerializedDictionaryInstanceDrawer.cs                  | C#           |        621 |          2 |        105 |        728 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Settings/EditorUserSettings.cs                         | C#           |         52 |          0 |          8 |         60 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Settings/EditorUserSettingsProvider.cs                 | C#           |         68 |          0 |         14 |         82 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/States/DefaultListState.cs                             | C#           |         45 |          0 |         10 |         55 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/States/ListState.cs                                    | C#           |         29 |          0 |          5 |         34 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/States/SearchListState.cs                              | C#           |         91 |          0 |         18 |        109 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Utility/GUIEnabledScope.cs                             | C#           |         20 |          0 |          3 |         23 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Utility/LabelWidth.cs                                  | C#           |         21 |          0 |          3 |         24 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Utility/RectUtility.cs                                 | C#           |         35 |          0 |          6 |         41 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Utility/SCEditorUtility.cs                             | C#           |        220 |          0 |         25 |        245 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Editor/Scripts/Utility/SCEnumUtility.cs                               | C#           |         85 |          0 |         13 |         98 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/AYellowpaper.SerializedCollections.asmdef                     | JSON         |         13 |          0 |          0 |         13 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/LookupTables/DictionaryLookupTable.cs                         | C#           |         73 |          0 |         15 |         88 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/LookupTables/IKeyable.cs                                      | C#           |         18 |          0 |          3 |         21 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/Scripts/AssemblyInfo.cs                                       | C#           |          2 |          0 |          1 |          3 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/Scripts/SerializedCollectionsUtility.cs                       | C#           |         24 |          1 |          2 |         27 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/Scripts/SerializedDictionary.cs                               | C#           |        148 |          4 |         25 |        177 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/Scripts/SerializedDictionaryAttribute.cs                      | C#           |         19 |          0 |          2 |         21 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Runtime/Scripts/SerializedKeyValuePair.cs                             | C#           |         17 |          0 |          3 |         20 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Sample/SerializedDictionarySample.cs                                  | C#           |         18 |          0 |          2 |         20 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Sample/SerializedDictionarySampleThree.cs                             | C#           |         11 |          0 |          1 |         12 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Plugins/SerializedCollections/Sample/SerializedDictionarySampleTwo.cs                               | C#           |         17 |          0 |          2 |         19 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/Resources/BillingMode.json                                                                          | JSON         |          1 |          0 |          0 |          1 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl                                                              | UnityShader  |        130 |         18 |         31 |        179 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_Bitmap-Custom-Atlas.shader                                                 | UnityShader  |        113 |          2 |         31 |        146 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_Bitmap-Mobile.shader                                                       | UnityShader  |        123 |          3 |         30 |        156 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_Bitmap.shader                                                              | UnityShader  |        113 |          2 |         31 |        146 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF Overlay.shader                                                         | UnityShader  |        253 |          4 |         70 |        327 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF SSD.shader                                                             | UnityShader  |        253 |          4 |         65 |        322 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile Masking.shader                                                  | UnityShader  |        198 |         10 |         51 |        259 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile Overlay.shader                                                  | UnityShader  |        193 |          8 |         52 |        253 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile SSD.shader                                                      | UnityShader  |         82 |          4 |         21 |        107 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile-2-Pass.shader                                                   | UnityShader  |        290 |         15 |         85 |        390 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile.shader                                                          | UnityShader  |        192 |          8 |         51 |        251 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Surface-Mobile.shader                                                  | UnityShader  |        104 |          8 |         28 |        140 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF-Surface.shader                                                         | UnityShader  |        123 |          4 |         33 |        160 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_SDF.shader                                                                 | UnityShader  |        253 |          4 |         70 |        327 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMP_Sprite.shader                                                              | UnityShader  |        111 |          0 |         21 |        132 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMPro.cginc                                                                    | UnityShader  |         63 |          2 |         20 |         85 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc                                                             | UnityShader  |        129 |          2 |         35 |        166 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMPro_Properties.cginc                                                         | UnityShader  |         62 |          6 |         13 |         81 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc                                                            | UnityShader  |         75 |          7 |         18 |        100 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/TextMesh Pro/Sprites/EmojiOne.json                                                                  | JSON         |        155 |          0 |          2 |        157 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/camera/smoothFollow.cs                                                                      | C#           |         15 |          0 |          4 |         19 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/chest.cs                                                                                    | C#           |         22 |          0 |          7 |         29 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/cursorLockOnStart.cs                                                                        | C#           |         12 |          2 |          5 |         19 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/damageProvider.cs                                                                           | C#           |         30 |          0 |          7 |         37 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/debug/debugKeysUI.cs                                                                        | C#           |         26 |          0 |          6 |         32 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/debug/displayPlayerHealth.cs                                                                | C#           |         20 |          0 |          7 |         27 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/debug/onGUIFPS.cs                                                                           | C#           |         47 |          1 |          9 |         57 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/destructTrigger.cs                                                                          | C#           |         19 |          0 |          4 |         23 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/dialog/dialogHelper.cs                                                                      | C#           |         11 |          0 |          4 |         15 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/dialog/dialogOptionText.cs                                                                  | C#           |         52 |          0 |         17 |         69 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/dialog/dialogOptionTextHelper.cs                                                            | C#           |         18 |          0 |          5 |         23 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/dialog/dialogScriptableObject.cs                                                            | C#           |         22 |          0 |          4 |         26 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/dialog/endOfTextIndicator.cs                                                                | C#           |         38 |          0 |         13 |         51 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/dialog/triggerDialog.cs                                                                     | C#           |        102 |          0 |         39 |        141 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/debug/flash.cs                                                                        | C#           |         30 |          0 |          7 |         37 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/debug/spriteFlash.cs                                                                  | C#           |         30 |          0 |          7 |         37 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/dummySwordSwing.cs                                                                    | C#           |         46 |          2 |         13 |         61 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/segmentedLineRenderer.cs                                                              | C#           |         39 |          1 |         11 |         51 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/simpleRigidbodyMover.cs                                                               | C#           |         45 |          4 |         10 |         59 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/spiderAI.cs                                                                           | C#           |        313 |         15 |         60 |        388 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/spiderController.cs                                                                   | C#           |        273 |          2 |         61 |        336 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/spikeBall.cs                                                                          | C#           |         92 |          1 |         27 |        120 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/spikeBallTarget.cs                                                                    | C#           |         15 |          0 |          5 |         20 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/triangleEnemy.cs                                                                      | C#           |        116 |          0 |         25 |        141 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/enemy/twoBodeIK.cs                                                                          | C#           |         62 |         18 |         18 |         98 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/healthProvider.cs                                                                           | C#           |        140 |          0 |         38 |        178 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/hitReciever.cs                                                                              | C#           |         22 |          1 |          7 |         30 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/hitTrigger.cs                                                                               | C#           |         50 |          0 |         14 |         64 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/holdableObject.cs                                                                           | C#           |        125 |         15 |         48 |        188 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/hoverPlatform.cs                                                                            | C#           |         50 |          0 |         14 |         64 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/inputSystemAddons/pressAndRepeatInteraction.cs                                              | C#           |         45 |          0 |         12 |         57 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/interaction.cs                                                                              | C#           |         43 |          0 |          7 |         50 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/lockedDoor.cs                                                                               | C#           |         50 |          0 |         10 |         60 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/lookAt.cs                                                                                   | C#           |         56 |          0 |         17 |         73 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/changeScene.cs                                                                     | C#           |         17 |          0 |          5 |         22 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/clickableObject.cs                                                                 | C#           |         21 |          0 |          5 |         26 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/debugFunctions.cs                                                                  | C#           |         32 |          0 |         13 |         45 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/debugShowunlockStateInDebugLabel.cs                                                | C#           |         44 |          0 |          9 |         53 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/faceDirectionChecker.cs                                                            | C#           |         44 |          0 |         11 |         55 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/inventoryFlapOpener.cs                                                             | C#           |         62 |          0 |         19 |         81 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/inventoryItemEquipper.cs                                                           | C#           |         69 |          2 |         16 |         87 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/inventoryMenuInputThing.cs                                                         | C#           |         92 |          2 |         21 |        115 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/inventoryMenuShowGrid.cs                                                           | C#           |         71 |          2 |         16 |         89 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/mainMenuInputThing.cs                                                              | C#           |         92 |          0 |         19 |        111 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/menuCubeController.cs                                                              | C#           |         67 |          0 |         16 |         83 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/menuNavigationHint.cs                                                              | C#           |          8 |          0 |          2 |         10 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/pauseMenuSpwanAnimat.cs                                                            | C#           |         27 |          0 |          7 |         34 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/randomRotator.cs                                                                   | C#           |         29 |          0 |          9 |         38 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/sliderSelector.cs                                                                  | C#           |          7 |          0 |          2 |          9 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/sliderValueLabel.cs                                                                | C#           |         21 |          0 |          6 |         27 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/toggleSelector.cs                                                                  | C#           |          6 |          0 |          2 |          8 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/verticalCubeMenu.cs                                                                | C#           |        164 |          0 |         35 |        199 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/verticalCubeMenuDebug.cs                                                           | C#           |        171 |          0 |         37 |        208 |
| /home/keanu/Documents/gitHub/fugginZelda/Assets/scripts/mainMenu/verticalCubeMenuInventory.cs                                                       | C#           |        155 |         19 |         37 |        211 |
